tensor(-3977.9810, device='cuda:0', dtype=torch.float64)
tensor(882.3633, device='cuda:0', dtype=torch.float64)
tensor(957.0260, device='cuda:0', dtype=torch.float64)
tensor(1032.2539, device='cuda:0', dtype=torch.float64)
tensor(1115.2405, device='cuda:0', dtype=torch.float64)
tensor(-4049.6333, device='cuda:0', dtype=torch.float64)
tensor(854.9836, device='cuda:0', dtype=torch.float64)
tensor(944.4419, device='cuda:0', dtype=torch.float64)
tensor(1075.1592, device='cuda:0', dtype=torch.float64)
tensor(1094.2878, device='cuda:0', dtype=torch.float64)
tensor(-4018.5593, device='cuda:0', dtype=torch.float64)
tensor(862.1589, device='cuda:0', dtype=torch.float64)
tensor(938.6396, device='cuda:0', dtype=torch.float64)
tensor(1076.5077, device='cuda:0', dtype=torch.float64)
tensor(1172.4602, device='cuda:0', dtype=torch.float64)
tensor(-4018.4430, device='cuda:0', dtype=torch.float64)
tensor(877.8317, device='cuda:0', dtype=torch.float64)
tensor(971.7344, device='cuda:0', dtype=torch.float64)
tensor(1066.9747, device='cuda:0', dtype=torch.float64)
tensor(1168.2121, device='cuda:0', dtype=torch.float64)
tensor(-4021.3682, device='cuda:0', dtype=torch.float64)
tensor(881.3729, device='cuda:0', dtype=torch.float64)
tensor(986.0692, device='cuda:0', dtype=torch.float64)
tensor(1105.6340, device='cuda:0', dtype=torch.float64)
tensor(1172.2749, device='cuda:0', dtype=torch.float64)
tensor(-3987.2007, device='cuda:0', dtype=torch.float64)
tensor(878.1918, device='cuda:0', dtype=torch.float64)
tensor(938.2527, device='cuda:0', dtype=torch.float64)
tensor(1036.8421, device='cuda:0', dtype=torch.float64)
tensor(1112.8431, device='cuda:0', dtype=torch.float64)
tensor(-4064.8654, device='cuda:0', dtype=torch.float64)
tensor(879.7399, device='cuda:0', dtype=torch.float64)
tensor(957.5301, device='cuda:0', dtype=torch.float64)
tensor(1091.8217, device='cuda:0', dtype=torch.float64)
tensor(1123.9011, device='cuda:0', dtype=torch.float64)
tensor(-4024.7054, device='cuda:0', dtype=torch.float64)
tensor(883.4571, device='cuda:0', dtype=torch.float64)
tensor(990.3140, device='cuda:0', dtype=torch.float64)
tensor(1105.6260, device='cuda:0', dtype=torch.float64)
tensor(1197.6988, device='cuda:0', dtype=torch.float64)
tensor(-4068.5124, device='cuda:0', dtype=torch.float64)
tensor(873.5333, device='cuda:0', dtype=torch.float64)
tensor(955.9262, device='cuda:0', dtype=torch.float64)
tensor(1054.8050, device='cuda:0', dtype=torch.float64)
tensor(1182.3225, device='cuda:0', dtype=torch.float64)
tensor(-3979.8460, device='cuda:0', dtype=torch.float64)
tensor(880.9835, device='cuda:0', dtype=torch.float64)
tensor(976.9487, device='cuda:0', dtype=torch.float64)
tensor(1080.8581, device='cuda:0', dtype=torch.float64)
tensor(1150.6257, device='cuda:0', dtype=torch.float64)
tensor(-4013.6879, device='cuda:0', dtype=torch.float64)
tensor(855.6559, device='cuda:0', dtype=torch.float64)
tensor(942.9736, device='cuda:0', dtype=torch.float64)
tensor(1103.2331, device='cuda:0', dtype=torch.float64)
tensor(1181.1019, device='cuda:0', dtype=torch.float64)
tensor(-4072.4188, device='cuda:0', dtype=torch.float64)
tensor(873.7994, device='cuda:0', dtype=torch.float64)
tensor(981.0365, device='cuda:0', dtype=torch.float64)
tensor(1055.1015, device='cuda:0', dtype=torch.float64)
tensor(1167.1028, device='cuda:0', dtype=torch.float64)
tensor(-4034.0912, device='cuda:0', dtype=torch.float64)
tensor(873.2531, device='cuda:0', dtype=torch.float64)
tensor(936.6208, device='cuda:0', dtype=torch.float64)
tensor(1064.5173, device='cuda:0', dtype=torch.float64)
tensor(1126.7900, device='cuda:0', dtype=torch.float64)
tensor(-4042.5104, device='cuda:0', dtype=torch.float64)
tensor(882.9710, device='cuda:0', dtype=torch.float64)
tensor(964.5438, device='cuda:0', dtype=torch.float64)
tensor(1092.1000, device='cuda:0', dtype=torch.float64)
tensor(1144.4261, device='cuda:0', dtype=torch.float64)
tensor(-4050.8889, device='cuda:0', dtype=torch.float64)
tensor(878.9662, device='cuda:0', dtype=torch.float64)
tensor(925.5613, device='cuda:0', dtype=torch.float64)
tensor(1038.4390, device='cuda:0', dtype=torch.float64)
tensor(1118.1254, device='cuda:0', dtype=torch.float64)
tensor(-4054.3626, device='cuda:0', dtype=torch.float64)
tensor(883.2832, device='cuda:0', dtype=torch.float64)
tensor(966.3724, device='cuda:0', dtype=torch.float64)
tensor(1086.1475, device='cuda:0', dtype=torch.float64)
tensor(1118.5556, device='cuda:0', dtype=torch.float64)
tensor(-4070.4729, device='cuda:0', dtype=torch.float64)
tensor(862.0259, device='cuda:0', dtype=torch.float64)
tensor(932.7751, device='cuda:0', dtype=torch.float64)
tensor(1089.1489, device='cuda:0', dtype=torch.float64)
tensor(1142.7530, device='cuda:0', dtype=torch.float64)
tensor(-4020.1372, device='cuda:0', dtype=torch.float64)
tensor(873.3884, device='cuda:0', dtype=torch.float64)
tensor(966.8221, device='cuda:0', dtype=torch.float64)
tensor(1074.8165, device='cuda:0', dtype=torch.float64)
tensor(1160.2056, device='cuda:0', dtype=torch.float64)
tensor(-4037.5977, device='cuda:0', dtype=torch.float64)
tensor(871.8522, device='cuda:0', dtype=torch.float64)
tensor(972.2653, device='cuda:0', dtype=torch.float64)
tensor(1112.6901, device='cuda:0', dtype=torch.float64)
tensor(1154.2800, device='cuda:0', dtype=torch.float64)
tensor(-3996.9081, device='cuda:0', dtype=torch.float64)
tensor(874.5775, device='cuda:0', dtype=torch.float64)
tensor(983.2525, device='cuda:0', dtype=torch.float64)
tensor(1091.6902, device='cuda:0', dtype=torch.float64)
tensor(1097.3787, device='cuda:0', dtype=torch.float64)
tensor(-4023.5458, device='cuda:0', dtype=torch.float64)
tensor(882.7655, device='cuda:0', dtype=torch.float64)
tensor(957.4731, device='cuda:0', dtype=torch.float64)
tensor(1095.1416, device='cuda:0', dtype=torch.float64)
tensor(1139.6441, device='cuda:0', dtype=torch.float64)
tensor(-4022.4390, device='cuda:0', dtype=torch.float64)
tensor(887.2229, device='cuda:0', dtype=torch.float64)
tensor(986.2076, device='cuda:0', dtype=torch.float64)
tensor(1119.0743, device='cuda:0', dtype=torch.float64)
tensor(1190.2741, device='cuda:0', dtype=torch.float64)
tensor(-4052.2304, device='cuda:0', dtype=torch.float64)
tensor(891.2853, device='cuda:0', dtype=torch.float64)
tensor(952.2057, device='cuda:0', dtype=torch.float64)
tensor(1080.9775, device='cuda:0', dtype=torch.float64)
tensor(1158.7522, device='cuda:0', dtype=torch.float64)
tensor(-4065.8669, device='cuda:0', dtype=torch.float64)
tensor(885.3434, device='cuda:0', dtype=torch.float64)
tensor(962.9363, device='cuda:0', dtype=torch.float64)
tensor(1074.9322, device='cuda:0', dtype=torch.float64)
tensor(1140.8412, device='cuda:0', dtype=torch.float64)
tensor(-4029.8720, device='cuda:0', dtype=torch.float64)
tensor(874.6100, device='cuda:0', dtype=torch.float64)
tensor(952.0390, device='cuda:0', dtype=torch.float64)
tensor(1070.2346, device='cuda:0', dtype=torch.float64)
tensor(1151.3281, device='cuda:0', dtype=torch.float64)
tensor(-4048.7698, device='cuda:0', dtype=torch.float64)
tensor(875.9809, device='cuda:0', dtype=torch.float64)
tensor(975.7737, device='cuda:0', dtype=torch.float64)
tensor(1086.3338, device='cuda:0', dtype=torch.float64)
tensor(1111.0776, device='cuda:0', dtype=torch.float64)
tensor(-4093.4562, device='cuda:0', dtype=torch.float64)
tensor(899.5394, device='cuda:0', dtype=torch.float64)
tensor(990.1156, device='cuda:0', dtype=torch.float64)
tensor(1094.1247, device='cuda:0', dtype=torch.float64)
tensor(1173.8697, device='cuda:0', dtype=torch.float64)
tensor(-4018.2196, device='cuda:0', dtype=torch.float64)
tensor(876.9505, device='cuda:0', dtype=torch.float64)
tensor(956.5348, device='cuda:0', dtype=torch.float64)
tensor(1095.1088, device='cuda:0', dtype=torch.float64)
tensor(1126.3140, device='cuda:0', dtype=torch.float64)
tensor(-4082.0093, device='cuda:0', dtype=torch.float64)
tensor(862.7914, device='cuda:0', dtype=torch.float64)
tensor(975.4016, device='cuda:0', dtype=torch.float64)
tensor(1087.8460, device='cuda:0', dtype=torch.float64)
tensor(1115.4136, device='cuda:0', dtype=torch.float64)
tensor(-4059.5764, device='cuda:0', dtype=torch.float64)
tensor(876.5534, device='cuda:0', dtype=torch.float64)
tensor(943.9201, device='cuda:0', dtype=torch.float64)
tensor(1050.6061, device='cuda:0', dtype=torch.float64)
tensor(1147.7547, device='cuda:0', dtype=torch.float64)
tensor(-4038.5392, device='cuda:0', dtype=torch.float64)
tensor(881.5305, device='cuda:0', dtype=torch.float64)
tensor(947.8923, device='cuda:0', dtype=torch.float64)
tensor(1058.7362, device='cuda:0', dtype=torch.float64)
tensor(1158.4296, device='cuda:0', dtype=torch.float64)
tensor(-4018.3273, device='cuda:0', dtype=torch.float64)
tensor(874.3544, device='cuda:0', dtype=torch.float64)
tensor(938.0585, device='cuda:0', dtype=torch.float64)
tensor(1076.4239, device='cuda:0', dtype=torch.float64)
tensor(1139.4370, device='cuda:0', dtype=torch.float64)
tensor(-4077.0515, device='cuda:0', dtype=torch.float64)
tensor(881.2098, device='cuda:0', dtype=torch.float64)
tensor(963.7154, device='cuda:0', dtype=torch.float64)
tensor(1068.8259, device='cuda:0', dtype=torch.float64)
tensor(1163.8558, device='cuda:0', dtype=torch.float64)
tensor(-4061.2262, device='cuda:0', dtype=torch.float64)
tensor(881.1204, device='cuda:0', dtype=torch.float64)
tensor(960.4005, device='cuda:0', dtype=torch.float64)
tensor(1093.9188, device='cuda:0', dtype=torch.float64)
tensor(1121.5139, device='cuda:0', dtype=torch.float64)
tensor(-4009.1778, device='cuda:0', dtype=torch.float64)
tensor(867.1371, device='cuda:0', dtype=torch.float64)
tensor(916.1091, device='cuda:0', dtype=torch.float64)
tensor(1070.0893, device='cuda:0', dtype=torch.float64)
tensor(1132.7244, device='cuda:0', dtype=torch.float64)
tensor(-4010.5125, device='cuda:0', dtype=torch.float64)
tensor(869.5495, device='cuda:0', dtype=torch.float64)
tensor(954.2451, device='cuda:0', dtype=torch.float64)
tensor(1027.6049, device='cuda:0', dtype=torch.float64)
tensor(1159.0119, device='cuda:0', dtype=torch.float64)
tensor(-4025.2876, device='cuda:0', dtype=torch.float64)
tensor(865.7215, device='cuda:0', dtype=torch.float64)
tensor(939.3911, device='cuda:0', dtype=torch.float64)
tensor(1099.1120, device='cuda:0', dtype=torch.float64)
tensor(1132.1972, device='cuda:0', dtype=torch.float64)
tensor(-4027.6420, device='cuda:0', dtype=torch.float64)
tensor(870.1583, device='cuda:0', dtype=torch.float64)
tensor(963.7174, device='cuda:0', dtype=torch.float64)
tensor(1077.3194, device='cuda:0', dtype=torch.float64)
tensor(1212.2729, device='cuda:0', dtype=torch.float64)
tensor(-3975.4383, device='cuda:0', dtype=torch.float64)
tensor(870.7213, device='cuda:0', dtype=torch.float64)
